date,network,field,value
2026-06-15,vk,subscribers,23189
2026-06-15,telegram,subscribers,13144
2026-06-15,telegram,views_day,3563
2026-06-15,telegram,content_total,1791
2026-06-15,telegram,engagement_rate_day,2.23
2026-06-15,youtube,subscribers,91500
2026-06-15,youtube,views_total,26331874
2026-06-15,youtube,content_total,769
2026-06-15,vk,subscribers,23189
2026-06-15,telegram,subscribers,13144
2026-06-15,telegram,views_day,3563
2026-06-15,telegram,content_total,1791
2026-06-15,telegram,engagement_rate_day,2.23
2026-06-15,youtube,subscribers,91500
2026-06-15,youtube,views_total,26331874
2026-06-15,youtube,content_total,769
2026-06-15,site,referrals_day,21
2026-06-15,vk,subscribers,23189
2026-06-15,telegram,subscribers,13144
2026-06-15,telegram,views_day,3563
2026-06-15,telegram,content_total,1791
2026-06-15,telegram,engagement_rate_day,2.23
2026-06-15,youtube,subscribers,91500
2026-06-15,youtube,views_total,26331874
2026-06-15,youtube,content_total,769
2026-06-15,site,referrals_day,21
2026-06-15,vk,subscribers,23188
2026-06-15,telegram,subscribers,13142
2026-06-15,telegram,views_day,3563
2026-06-15,telegram,content_total,1793
2026-06-15,telegram,engagement_rate_day,2.23
2026-06-15,youtube,subscribers,91500
2026-06-15,youtube,views_total,26331874
2026-06-15,youtube,content_total,769
2026-06-15,site,referrals_day,21
