date,network,field,value
2026-04-01,instagram,engagement_rate_day,4.06
2026-04-01,instagram,reactions_day,52.0
2026-04-01,instagram,referrals_day,1.0
2026-04-01,instagram,subscribers,20148.0
2026-04-01,telegram,engagement_rate_day,0.91
2026-04-01,telegram,referrals_day,78.0
2026-04-01,telegram,subscribers,13161.0
2026-04-01,telegram,views_day,3970.0
2026-04-01,vk,content_day,3.0
2026-04-01,vk,engagement_rate_day,3.21
2026-04-01,vk,referrals_day,14.0
2026-04-01,vk,subscribers,23616.0
2026-04-01,youtube,content_day,2.0
2026-04-01,youtube,engagement_rate_day,1.33
2026-04-01,youtube,reactions_day,268.0
2026-04-01,youtube,referrals_day,4.0
2026-04-01,youtube,subscribers,90455.0
2026-04-01,youtube,views_day,20089.0
2026-04-02,instagram,engagement_rate_day,2.73
2026-04-02,instagram,reactions_day,42.0
2026-04-02,instagram,referrals_day,0.0
2026-04-02,instagram,subscribers,20148.0
2026-04-02,telegram,content_day,1.0
2026-04-02,telegram,engagement_rate_day,1.21
2026-04-02,telegram,referrals_day,42.0
2026-04-02,telegram,subscribers,13262.0
2026-04-02,telegram,views_day,5105.0
2026-04-02,vk,engagement_rate_day,3.73
2026-04-02,vk,referrals_day,7.0
2026-04-02,vk,subscribers,23627.0
2026-04-02,youtube,content_day,1.0
2026-04-02,youtube,engagement_rate_day,1.57
2026-04-02,youtube,reactions_day,236.0
2026-04-02,youtube,referrals_day,11.0
2026-04-02,youtube,subscribers,90468.0
2026-04-02,youtube,views_day,15010.0
2026-04-03,instagram,engagement_rate_day,3.47
2026-04-03,instagram,reactions_day,73.0
2026-04-03,instagram,referrals_day,5.0
2026-04-03,instagram,subscribers,20149.0
2026-04-03,telegram,content_day,2.0
2026-04-03,telegram,engagement_rate_day,1.88
2026-04-03,telegram,referrals_day,73.0
2026-04-03,telegram,subscribers,13243.0
2026-04-03,telegram,views_day,3139.0
2026-04-03,vk,content_day,3.0
2026-04-03,vk,engagement_rate_day,6.65
2026-04-03,vk,referrals_day,8.0
2026-04-03,vk,subscribers,23630.0
2026-04-03,youtube,content_day,1.0
2026-04-03,youtube,engagement_rate_day,1.57
2026-04-03,youtube,reactions_day,453.0
2026-04-03,youtube,referrals_day,20.0
2026-04-03,youtube,subscribers,90484.0
2026-04-03,youtube,views_day,28781.0
2026-04-04,instagram,engagement_rate_day,4.17
2026-04-04,instagram,reactions_day,71.0
2026-04-04,instagram,referrals_day,2.0
2026-04-04,instagram,subscribers,20153.0
2026-04-04,telegram,referrals_day,24.0
2026-04-04,telegram,subscribers,13232.0
2026-04-04,telegram,views_day,1380.0
2026-04-04,vk,engagement_rate_day,2.7
2026-04-04,vk,referrals_day,7.0
2026-04-04,vk,subscribers,23634.0
2026-04-04,youtube,content_day,1.0
2026-04-04,youtube,engagement_rate_day,1.12
2026-04-04,youtube,reactions_day,454.0
2026-04-04,youtube,referrals_day,15.0
2026-04-04,youtube,subscribers,90508.0
2026-04-04,youtube,views_day,40631.0
2026-04-05,instagram,engagement_rate_day,3.63
2026-04-05,instagram,reactions_day,38.0
2026-04-05,instagram,referrals_day,1.0
2026-04-05,instagram,subscribers,20152.0
2026-04-05,telegram,content_day,2.0
2026-04-05,telegram,engagement_rate_day,0.46
2026-04-05,telegram,referrals_day,83.0
2026-04-05,telegram,subscribers,13213.0
2026-04-05,telegram,views_day,5413.0
2026-04-05,vk,content_day,2.0
2026-04-05,vk,engagement_rate_day,4.41
2026-04-05,vk,referrals_day,7.0
2026-04-05,vk,subscribers,23638.0
2026-04-05,youtube,content_day,1.0
2026-04-05,youtube,engagement_rate_day,1.46
2026-04-05,youtube,reactions_day,653.0
2026-04-05,youtube,referrals_day,19.0
2026-04-05,youtube,subscribers,90529.0
2026-04-05,youtube,views_day,44595.0
2026-04-06,instagram,engagement_rate_day,2.23
2026-04-06,instagram,reactions_day,26.0
2026-04-06,instagram,referrals_day,8.0
2026-04-06,instagram,subscribers,20151.0
2026-04-06,telegram,content_day,5.0
2026-04-06,telegram,engagement_rate_day,0.34
2026-04-06,telegram,referrals_day,101.0
2026-04-06,telegram,subscribers,13188.0
2026-04-06,telegram,views_day,9292.0
2026-04-06,vk,content_day,2.0
2026-04-06,vk,engagement_rate_day,2.17
